time,dev_eui,temperature
2024-05-06 18:50:40.191+00,647fda000000aa92,15.6
2024-05-06 18:20:40.176+00,647fda000000aa92,16.3
2024-05-06 19:05:40.198+00,647fda000000aa92,15.4
2024-05-06 19:20:40.21+00,647fda000000aa92,15.3
2024-05-06 18:35:40.188434+00,647fda000000aa92,16.0
2024-05-06 20:05:40.224+00,647fda000000aa92,14.9
2024-05-06 19:35:40.214+00,647fda000000aa92,15.0
2024-05-06 20:20:40.240618+00,647fda000000aa92,14.7
2024-05-06 20:35:40.242134+00,647fda000000aa92,14.5
2024-05-06 19:50:40.219+00,647fda000000aa92,15.0
2024-05-12 06:20:43.174+00,647fda000000aa92,12.6
2024-05-06 20:50:40.239+00,647fda000000aa92,14.4
2024-05-06 21:05:40.244+00,647fda000000aa92,14.2
2024-05-06 21:50:40.272568+00,647fda000000aa92,13.7
2024-05-06 21:20:40.25+00,647fda000000aa92,13.9
2024-05-07 03:05:40.434+00,647fda000000aa92,10.3
2024-05-06 21:35:40.256+00,647fda000000aa92,13.8
2024-05-06 22:50:40.287+00,647fda000000aa92,13.3
2024-05-06 22:20:40.274+00,647fda000000aa92,13.5
2024-05-06 22:05:40.268+00,647fda000000aa92,13.6
2024-05-06 23:05:40.294+00,647fda000000aa92,13.0
2024-05-06 23:35:40.308+00,647fda000000aa92,12.4
2024-05-06 23:20:40.301+00,647fda000000aa92,12.8
2024-05-06 22:35:40.291731+00,647fda000000aa92,13.4
2024-05-06 23:50:40.316+00,647fda000000aa92,11.9
2024-05-07 00:05:40.323+00,647fda000000aa92,11.6
2024-05-07 00:50:40.353+00,647fda000000aa92,11.0
2024-05-07 00:20:40.335+00,647fda000000aa92,11.3
2024-05-07 03:20:40.433+00,647fda000000aa92,10.2
2024-05-07 01:20:40.380259+00,647fda000000aa92,10.6
2024-05-07 00:35:40.351691+00,647fda000000aa92,11.1
2024-05-07 01:05:40.358+00,647fda000000aa92,10.8
2024-05-07 03:35:40.443+00,647fda000000aa92,10.4
2024-05-07 01:35:40.381+00,647fda000000aa92,10.5
2024-05-07 03:50:40.451+00,647fda000000aa92,10.6
2024-05-07 02:05:40.397+00,647fda000000aa92,10.4
2024-05-07 02:20:40.41+00,647fda000000aa92,10.5
2024-05-07 01:50:40.391+00,647fda000000aa92,10.5
2024-05-30 23:05:48.621+00,647fda000000aa92,15.7
2024-05-07 04:35:40.478+00,647fda000000aa92,11.0
2024-05-07 04:50:40.486+00,647fda000000aa92,11.1
2024-05-07 04:05:40.461+00,647fda000000aa92,10.7
2024-05-12 06:35:43.194838+00,647fda000000aa92,12.9
2024-05-07 05:20:40.504+00,647fda000000aa92,11.4
2024-05-07 04:20:40.468+00,647fda000000aa92,10.8
2024-05-07 05:35:40.513+00,647fda000000aa92,11.4
2024-05-07 05:05:40.495+00,647fda000000aa92,11.2
2024-05-07 06:20:40.539+00,647fda000000aa92,11.3
2024-05-07 06:05:40.53+00,647fda000000aa92,11.3
2024-05-07 15:50:40.814+00,647fda000000aa92,14.5
2024-05-07 05:50:40.521+00,647fda000000aa92,11.4
2024-05-07 06:35:40.555+00,647fda000000aa92,11.1
2024-05-07 06:50:40.565+00,647fda000000aa92,11.1
2024-05-12 06:50:43.188+00,647fda000000aa92,13.1
2024-05-07 09:20:40.648+00,647fda000000aa92,11.7
2024-05-07 07:20:40.581+00,647fda000000aa92,11.2
2024-05-07 08:05:40.607+00,647fda000000aa92,11.5
2024-05-07 16:05:40.825+00,647fda000000aa92,14.5
2024-05-07 08:50:40.632+00,647fda000000aa92,11.9
2024-05-07 09:05:40.64+00,647fda000000aa92,11.8
2024-05-07 07:05:40.572+00,647fda000000aa92,11.1
2024-05-07 07:35:40.599936+00,647fda000000aa92,11.4
2024-05-07 07:50:40.598+00,647fda000000aa92,11.5
2024-05-07 08:20:40.628658+00,647fda000000aa92,11.8
2024-05-12 07:05:43.194+00,647fda000000aa92,13.2
2024-05-07 08:35:40.623+00,647fda000000aa92,11.9
2024-05-07 09:35:40.657+00,647fda000000aa92,11.7
2024-05-07 10:50:40.697+00,647fda000000aa92,12.0
2024-05-07 09:50:40.665+00,647fda000000aa92,11.7
2024-05-07 10:20:40.68+00,647fda000000aa92,11.9
2024-05-07 10:05:40.673+00,647fda000000aa92,11.8
2024-05-12 07:20:43.21+00,647fda000000aa92,13.5
2024-05-07 11:50:40.742+00,647fda000000aa92,12.4
2024-05-07 11:05:40.705+00,647fda000000aa92,11.8
2024-05-07 10:35:40.689+00,647fda000000aa92,12.0
2024-05-24 14:20:46.491232+00,647fda000000aa92,20.1
2024-05-12 07:35:43.216+00,647fda000000aa92,13.7
2024-05-07 12:05:40.741+00,647fda000000aa92,12.6
2024-05-07 11:35:40.721+00,647fda000000aa92,12.2
2024-05-07 11:20:40.713+00,647fda000000aa92,12.1
2024-05-07 13:05:40.765+00,647fda000000aa92,14.8
2024-05-07 12:35:40.755+00,647fda000000aa92,13.4
2024-05-18 05:35:44.431+00,647fda000000aa92,15.1
2024-05-07 12:20:40.748+00,647fda000000aa92,12.8
2024-05-07 13:50:40.78+00,647fda000000aa92,14.9
2024-05-07 16:20:40.83+00,647fda000000aa92,14.6
2024-05-07 13:20:40.77+00,647fda000000aa92,15.1
2024-05-07 12:50:40.765+00,647fda000000aa92,14.2
2024-05-07 14:05:40.779+00,647fda000000aa92,14.7
2024-05-12 07:50:43.222+00,647fda000000aa92,13.9
2024-05-07 13:35:40.775+00,647fda000000aa92,15.0
2024-05-07 14:50:40.795+00,647fda000000aa92,14.9
2024-05-07 14:35:40.795+00,647fda000000aa92,15.2
2024-05-07 14:20:40.789+00,647fda000000aa92,14.6
2024-05-07 15:05:40.798+00,647fda000000aa92,14.6
2024-05-07 15:35:40.809+00,647fda000000aa92,14.7
2024-05-12 08:20:43.232+00,647fda000000aa92,14.4
2024-05-12 08:35:43.254108+00,647fda000000aa92,14.8
2024-05-12 08:05:43.228+00,647fda000000aa92,14.2
2024-05-07 15:20:40.81+00,647fda000000aa92,14.6
2024-05-12 08:50:43.242+00,647fda000000aa92,15.4
2024-05-07 16:35:40.829+00,647fda000000aa92,14.6
2024-05-12 09:05:43.252+00,647fda000000aa92,15.9
2024-05-12 09:50:43.261+00,647fda000000aa92,17.7
2024-05-12 10:05:43.263+00,647fda000000aa92,18.2
2024-05-12 22:20:43.36388+00,647fda000000aa92,14.6
2024-05-12 09:20:43.256+00,647fda000000aa92,16.5
2024-05-12 10:20:43.272786+00,647fda000000aa92,18.8
2024-05-12 09:35:43.258+00,647fda000000aa92,17.2
2024-05-12 11:35:43.277658+00,647fda000000aa92,20.4
2024-05-12 10:35:43.273096+00,647fda000000aa92,19.3
2024-05-12 11:50:43.28467+00,647fda000000aa92,20.6
2024-05-12 11:20:43.27+00,647fda000000aa92,20.2
2024-05-12 10:50:43.268+00,647fda000000aa92,19.8
2024-05-12 13:05:43.275+00,647fda000000aa92,20.1
2024-05-12 11:05:43.269+00,647fda000000aa92,20.1
2024-05-12 12:05:43.272+00,647fda000000aa92,20.7
2024-05-12 12:35:43.281533+00,647fda000000aa92,20.5
2024-05-12 13:50:43.284529+00,647fda000000aa92,20.0
2024-05-12 12:50:43.279+00,647fda000000aa92,20.3
2024-05-12 13:20:43.268+00,647fda000000aa92,20.0
2024-05-12 12:20:43.279913+00,647fda000000aa92,20.7
2024-05-12 22:35:43.371662+00,647fda000000aa92,14.5
2024-05-12 14:05:43.278+00,647fda000000aa92,20.2
2024-05-12 14:20:43.279+00,647fda000000aa92,20.4
2024-05-12 13:35:43.277+00,647fda000000aa92,19.9
2024-05-12 15:20:43.281+00,647fda000000aa92,21.3
2024-05-12 14:50:43.28+00,647fda000000aa92,21.0
2024-05-12 14:35:43.286167+00,647fda000000aa92,20.7
2024-05-12 15:35:43.287593+00,647fda000000aa92,21.2
2024-05-12 16:35:43.290653+00,647fda000000aa92,20.8
2024-05-12 15:50:43.290405+00,647fda000000aa92,21.2
2024-05-12 22:50:43.367+00,647fda000000aa92,14.4
2024-05-12 15:05:43.28+00,647fda000000aa92,21.2
2024-05-12 16:05:43.281+00,647fda000000aa92,21.1
2024-05-30 23:20:48.625+00,647fda000000aa92,15.6
2024-05-12 16:20:43.281+00,647fda000000aa92,21.0
2024-05-12 16:50:43.283+00,647fda000000aa92,20.6
2024-05-12 17:20:43.277+00,647fda000000aa92,20.2
2024-05-12 17:35:43.279+00,647fda000000aa92,19.6
2024-05-12 17:05:43.276+00,647fda000000aa92,20.5
2024-05-12 17:50:43.272+00,647fda000000aa92,18.9
2024-05-12 18:20:43.283011+00,647fda000000aa92,18.3
2024-05-12 18:05:43.28275+00,647fda000000aa92,18.6
2024-05-12 18:35:43.28841+00,647fda000000aa92,17.9
2024-05-12 19:05:43.291+00,647fda000000aa92,17.2
2024-05-12 18:50:43.285+00,647fda000000aa92,17.6
2024-05-12 23:05:43.372+00,647fda000000aa92,14.2
2024-05-12 19:35:43.31+00,647fda000000aa92,16.5
2024-05-12 19:20:43.304+00,647fda000000aa92,16.8
2024-05-12 19:50:43.313+00,647fda000000aa92,16.2
2024-05-12 20:35:43.334449+00,647fda000000aa92,15.6
2024-05-12 20:05:43.317+00,647fda000000aa92,16.0
2024-05-12 20:50:43.329+00,647fda000000aa92,15.5
2024-05-12 21:05:43.333+00,647fda000000aa92,15.4
2024-05-12 20:20:43.339184+00,647fda000000aa92,15.8
2024-05-12 21:50:43.347+00,647fda000000aa92,15.0
2024-05-12 21:20:43.338+00,647fda000000aa92,15.2
2024-05-12 21:35:43.343+00,647fda000000aa92,15.1
2024-05-12 22:05:43.352+00,647fda000000aa92,14.8
2024-05-12 23:20:43.378+00,647fda000000aa92,14.1
2024-05-12 23:35:43.384+00,647fda000000aa92,14.0
2024-05-13 00:50:43.415+00,647fda000000aa92,13.3
2024-05-13 00:20:43.402+00,647fda000000aa92,13.5
2024-05-13 00:35:43.416419+00,647fda000000aa92,13.3
2024-05-13 01:35:43.435+00,647fda000000aa92,12.9
2024-05-12 23:50:43.39+00,647fda000000aa92,13.8
2024-05-13 00:05:43.396+00,647fda000000aa92,13.6
2024-05-13 01:05:43.422+00,647fda000000aa92,13.2
2024-05-13 01:20:43.43+00,647fda000000aa92,13.0
2024-05-13 02:50:43.469+00,647fda000000aa92,12.3
2024-05-13 01:50:43.442+00,647fda000000aa92,12.8
2024-05-13 02:05:43.45+00,647fda000000aa92,12.6
2024-05-13 03:05:43.468+00,647fda000000aa92,12.2
2024-05-13 14:05:43.625+00,647fda000000aa92,22.1
2024-05-13 02:20:43.457+00,647fda000000aa92,12.5
2024-05-13 03:20:43.474+00,647fda000000aa92,12.1
2024-05-13 02:35:43.470471+00,647fda000000aa92,12.5
2024-05-13 04:20:43.504+00,647fda000000aa92,11.9
2024-05-13 03:50:43.49382+00,647fda000000aa92,11.9
2024-05-13 03:35:43.481+00,647fda000000aa92,12.1
2024-05-13 14:20:43.625+00,647fda000000aa92,22.4
2024-05-13 04:35:43.520088+00,647fda000000aa92,12.0
2024-05-13 04:50:43.519+00,647fda000000aa92,12.0
2024-05-13 05:05:43.527+00,647fda000000aa92,12.0
2024-05-13 04:05:43.497+00,647fda000000aa92,11.9
2024-05-13 06:05:43.556+00,647fda000000aa92,13.1
2024-05-13 05:35:43.541+00,647fda000000aa92,12.2
2024-05-24 14:35:46.49+00,647fda000000aa92,20.2
2024-05-13 06:20:43.562+00,647fda000000aa92,13.6
2024-05-13 05:50:43.549+00,647fda000000aa92,12.6
2024-05-13 05:20:43.535+00,647fda000000aa92,12.0
2024-05-18 05:50:44.444+00,647fda000000aa92,15.3
2024-05-30 23:35:48.629+00,647fda000000aa92,15.6
2024-05-13 06:35:43.578338+00,647fda000000aa92,13.9
2024-05-13 06:50:43.574+00,647fda000000aa92,14.3
2024-05-13 07:35:43.597+00,647fda000000aa92,15.2
2024-05-13 07:50:43.602+00,647fda000000aa92,15.6
2024-05-13 07:05:43.579+00,647fda000000aa92,14.6
2024-05-13 08:50:43.621+00,647fda000000aa92,17.5
2024-05-13 07:20:43.584+00,647fda000000aa92,14.9
2024-05-13 15:05:43.624+00,647fda000000aa92,23.1
2024-05-13 08:20:43.609+00,647fda000000aa92,16.4
2024-05-13 08:05:43.606+00,647fda000000aa92,15.9
2024-05-13 14:35:43.625+00,647fda000000aa92,22.7
2024-05-13 09:05:43.623+00,647fda000000aa92,18.1
2024-05-13 09:20:43.625+00,647fda000000aa92,18.8
2024-05-13 09:35:43.633335+00,647fda000000aa92,19.3
2024-05-13 08:35:43.624504+00,647fda000000aa92,16.8
2024-05-13 10:35:43.629+00,647fda000000aa92,21.7
2024-05-13 10:05:43.627+00,647fda000000aa92,20.4
2024-05-13 09:50:43.627+00,647fda000000aa92,20.0
2024-05-13 10:50:43.628+00,647fda000000aa92,22.1
2024-05-13 11:05:43.628+00,647fda000000aa92,22.2
2024-05-13 10:20:43.628+00,647fda000000aa92,21.0
2024-05-13 12:05:43.627+00,647fda000000aa92,22.7
2024-05-13 14:50:43.625+00,647fda000000aa92,23.0
2024-05-13 11:35:43.627+00,647fda000000aa92,22.4
2024-05-13 11:20:43.627+00,647fda000000aa92,22.2
2024-05-13 12:20:43.627+00,647fda000000aa92,22.6
2024-05-13 12:35:43.627+00,647fda000000aa92,22.5
2024-05-13 12:50:43.631+00,647fda000000aa92,22.3
2024-05-13 13:05:43.625+00,647fda000000aa92,22.1
2024-05-13 13:50:43.619+00,647fda000000aa92,21.9
2024-05-13 11:50:43.635+00,647fda000000aa92,22.5
2024-05-13 13:20:43.619+00,647fda000000aa92,22.0
2024-05-14 05:20:43.798+00,647fda000000aa92,13.4
2024-05-13 13:35:43.619+00,647fda000000aa92,22.0
2024-05-13 15:20:43.631211+00,647fda000000aa92,23.1
2024-05-13 15:35:43.623+00,647fda000000aa92,23.2
2024-05-13 15:50:43.622+00,647fda000000aa92,23.1
2024-05-13 16:05:43.622+00,647fda000000aa92,22.9
2024-05-13 16:50:43.62+00,647fda000000aa92,22.5
2024-05-13 17:05:43.612+00,647fda000000aa92,22.3
2024-05-13 16:20:43.621+00,647fda000000aa92,22.8
2024-05-13 17:20:43.613+00,647fda000000aa92,22.0
2024-05-13 16:35:43.628727+00,647fda000000aa92,22.6
2024-05-13 17:50:43.606+00,647fda000000aa92,20.6
2024-05-13 17:35:43.606+00,647fda000000aa92,21.2
2024-05-13 18:05:43.606+00,647fda000000aa92,20.2
2024-05-13 18:50:43.614+00,647fda000000aa92,19.1
2024-05-13 18:20:43.609+00,647fda000000aa92,19.8
2024-05-13 19:05:43.62+00,647fda000000aa92,18.7
2024-05-13 19:20:43.631+00,647fda000000aa92,18.4
2024-05-13 18:35:43.611+00,647fda000000aa92,19.5
2024-05-13 20:05:43.641+00,647fda000000aa92,17.6
