time,dev_eui,temperature
2023-05-26 10:34:09.008+00,647fda000000aa92,23.7
2023-05-26 10:49:09.008+00,647fda000000aa92,23.8
2023-05-26 11:19:09.005+00,647fda000000aa92,23.8
2023-05-26 11:34:09.009+00,647fda000000aa92,23.8
2023-05-29 19:49:08.713+00,647fda000000aa92,24.6
2023-05-29 20:04:08.706+00,647fda000000aa92,24.6
2023-05-29 20:19:11.711+00,647fda000000aa92,24.6
2023-05-23 12:34:09.233+00,647fda000000aa92,24.7
2023-05-29 20:34:08.704+00,647fda000000aa92,24.5
2023-05-29 20:49:08.703+00,647fda000000aa92,24.5
2023-05-29 21:04:08.702+00,647fda000000aa92,24.5
2023-05-26 11:49:09.018+00,647fda000000aa92,23.8
2023-05-26 12:04:09.004+00,647fda000000aa92,23.8
2023-05-23 12:49:09.238+00,647fda000000aa92,24.4
2023-05-23 13:04:09.237+00,647fda000000aa92,24.2
2023-05-23 13:19:09.235+00,647fda000000aa92,24.1
2023-05-23 13:34:09.235+00,647fda000000aa92,24.0
2023-05-23 13:49:09.225+00,647fda000000aa92,23.8
2023-05-29 21:19:11.707+00,647fda000000aa92,24.5
2023-05-23 14:04:09.223+00,647fda000000aa92,23.4
2023-05-29 21:34:08.699+00,647fda000000aa92,24.5
2023-05-23 14:49:09.224+00,647fda000000aa92,23.6
2023-05-29 21:49:08.699+00,647fda000000aa92,24.4
2023-05-29 22:04:08.697+00,647fda000000aa92,24.4
2023-05-29 22:19:08.696+00,647fda000000aa92,24.4
2023-05-23 15:04:09.224+00,647fda000000aa92,23.7
2023-05-23 15:19:09.223+00,647fda000000aa92,24.0
2023-05-29 22:34:08.695+00,647fda000000aa92,24.3
2023-05-29 22:49:08.694+00,647fda000000aa92,24.3
2023-05-29 23:04:08.692+00,647fda000000aa92,24.2
2023-05-29 23:19:08.691+00,647fda000000aa92,24.1
2023-05-29 23:34:11.696+00,647fda000000aa92,24.1
2023-05-26 12:19:09.002+00,647fda000000aa92,23.8
2023-05-26 12:34:09.007+00,647fda000000aa92,23.8
2023-05-26 12:49:09.001+00,647fda000000aa92,23.8
2023-05-26 13:04:12.007+00,647fda000000aa92,23.9
2023-05-26 13:19:08.999+00,647fda000000aa92,23.8
2023-05-26 13:34:08.999+00,647fda000000aa92,23.8
2023-05-26 13:49:08.998+00,647fda000000aa92,23.8
2023-05-26 14:04:08.997+00,647fda000000aa92,23.8
2023-05-26 14:19:12.003+00,647fda000000aa92,23.8
2023-05-23 15:34:09.222+00,647fda000000aa92,24.1
2023-05-26 14:34:08.994+00,647fda000000aa92,23.8
2023-05-23 15:49:09.221+00,647fda000000aa92,24.1
2023-05-26 14:49:08.995+00,647fda000000aa92,23.8
2023-05-23 16:34:09.219+00,647fda000000aa92,24.3
2023-05-23 16:49:09.218+00,647fda000000aa92,24.3
2023-05-23 17:04:09.217+00,647fda000000aa92,24.3
2023-05-29 23:49:08.689+00,647fda000000aa92,24.1
2023-05-30 00:04:08.688+00,647fda000000aa92,24.1
2023-05-30 00:19:08.686+00,647fda000000aa92,24.1
2023-05-30 00:34:08.692+00,647fda000000aa92,24.1
2023-05-23 17:19:09.216+00,647fda000000aa92,24.2
2023-05-30 00:49:08.691+00,647fda000000aa92,24.0
2023-05-23 17:34:09.215+00,647fda000000aa92,24.2
2023-05-30 01:04:08.685+00,647fda000000aa92,23.9
2023-05-23 17:49:09.213+00,647fda000000aa92,24.2
2023-05-23 18:04:09.211+00,647fda000000aa92,24.1
2023-05-23 18:19:12.222+00,647fda000000aa92,24.1
2023-05-23 18:34:12.222+00,647fda000000aa92,24.1
2023-05-23 18:49:09.209+00,647fda000000aa92,24.0
2023-05-30 01:19:08.683+00,647fda000000aa92,24.0
2023-05-30 01:34:08.683+00,647fda000000aa92,24.0
2023-05-30 01:49:08.682+00,647fda000000aa92,23.9
2023-05-30 02:04:08.681+00,647fda000000aa92,23.8
2023-05-26 15:04:11.999+00,647fda000000aa92,23.7
2023-05-26 15:19:08.993+00,647fda000000aa92,23.8
2023-05-26 15:34:08.992+00,647fda000000aa92,23.8
2023-05-26 15:49:08.991+00,647fda000000aa92,23.7
2023-05-26 16:04:08.99+00,647fda000000aa92,23.9
2023-05-26 16:19:08.994+00,647fda000000aa92,23.7
2023-05-26 16:34:08.993+00,647fda000000aa92,23.8
2023-05-26 16:49:08.988+00,647fda000000aa92,23.8
2023-05-26 17:04:08.986+00,647fda000000aa92,23.9
2023-05-26 17:19:08.986+00,647fda000000aa92,23.8
2023-05-26 17:34:08.985+00,647fda000000aa92,23.8
2023-05-30 02:34:08.679+00,647fda000000aa92,23.8
2023-05-23 19:04:12.215+00,647fda000000aa92,24.0
2023-05-30 02:49:08.678+00,647fda000000aa92,23.8
2023-05-30 03:04:08.676+00,647fda000000aa92,23.7
2023-05-23 19:19:09.207+00,647fda000000aa92,24.0
